
5-Jan-17,31500.00
4-Jan-17,31450.00
3-Jan-17,31750.00
2-Jan-17,31150.00
29-Dec-16,31450.00
28-Dec-16,31800.00
27-Dec-16,31400.00
26-Dec-16,32000.00
23-Dec-16,31300.00
22-Dec-16,31400.00
21-Dec-16,31500.00
20-Dec-16,30550.00
19-Dec-16,30500.00
16-Dec-16,30900.00
15-Dec-16,30950.00
14-Dec-16,30300.00
13-Dec-16,30350.00
12-Dec-16,29550.00
9-Dec-16,30350.00
8-Dec-16,30300.00
7-Dec-16,29850.00
6-Dec-16,29100.00
5-Dec-16,27800.00
2-Dec-16,27900.00
1-Dec-16,28400.00
