2514.19000,0%
2507.81000,0%
2544.33000,-1%
2537.15000,0%
2540.51000,-1%
2530.70000,0%
2527.67000,0%
2533.99000,0%
2534.79000,0%
2518.25000,0%
2526.64000,0%
2530.35000,0%
2542.95000,-1%
2550.57000,-1%
2552.40000,-1%
2545.44000,-1%
2549.41000,-1%
2557.97000,-1%
2546.36000,-1%
2556.47000,-1%
2523.43000,0%
2501.93000,0%
2496.63000,0%
2480.63000,1%
2492.50000,0%
2490.49000,0%
2490.05000,0%
2489.54000,0%
2473.06000,1%
2482.91000,1%
2484.37000,1%
2480.05000,1%
2473.62000,1%
2474.76000,1%
2458.16000,2%
2433.81000,3%
2394.47000,4%
2373.14000,5%
2372.57000,5%
2374.32000,5%
2380.40000,5%
2388.71000,5%
2406.50000,4%
2412.20000,4%
2416.05000,3%
2418.21000,3%
2386.07000,5%
2377.66000,5%
2360.18000,6%
2365.47000,5%
2359.08000,6%
2343.72000,6%
2346.19000,6%
2319.82000,7%
2326.62000,7%
2329.65000,7%
2357.69000,6%
2363.19000,6%
2372.29000,5%
2364.74000,5%
2370.30000,5%
2378.51000,5%
2375.84000,5%
2366.40000,5%
2365.33000,5%
2355.00000,6%
2358.37000,6%
2361.67000,6%
2348.26000,6%
2334.22000,7%
2319.71000,7%
2359.47000,6%
2368.39000,5%
2394.73000,4%
2398.75000,4%
2395.45000,4%
2386.85000,5%
2427.63000,3%
2422.96000,3%
2402.71000,4%
2400.99000,4%
2443.24000,2%
2434.51000,3%
2439.90000,2%
2451.53000,2%
2450.06000,2%
2441.84000,2%
2429.94000,3%
2426.04000,3%
2425.10000,3%
2414.63000,3%
2409.49000,4%
2391.77000,4%
2396.00000,4%
2382.10000,5%
2379.87000,5%
2387.81000,5%
2388.35000,5%
2380.52000,5%
2394.48000,4%
2391.79000,4%
2395.66000,4%
2382.56000,5%
2391.95000,4%
2388.66000,5%
2378.60000,5%
2370.37000,5%
2357.53000,6%
2369.23000,5%
2370.90000,5%
2361.83000,6%
2361.65000,6%
2372.64000,5%
2374.70000,5%
2357.87000,6%
2381.69000,5%
2363.57000,6%
2360.14000,6%
2368.62000,5%
2371.72000,5%
2344.61000,6%
2347.38000,6%
2343.68000,6%
2352.97000,6%
2355.30000,6%
2342.93000,6%
2317.34000,7%
2311.74000,8%
2304.03000,8%
2288.48000,8%
2286.82000,9%
2293.08000,8%
2295.33000,8%
2290.65000,8%
2286.02000,9%
2296.37000,8%
2270.12000,9%
2292.76000,8%
2241.24000,10%
2219.67000,11%
2205.44000,12%
2209.46000,12%
2207.84000,12%
2196.85000,12%
2173.74000,13%
2165.04000,13%
2149.15000,14%
2138.40000,14%
2148.46000,14%
2145.76000,14%
2134.88000,15%
2148.61000,14%
2128.91000,15%
2123.85000,15%
2133.32000,15%
2151.73000,14%
2152.75000,14%
2160.85000,14%
2161.10000,14%
2167.51000,13%
2160.23000,14%
2164.64000,13%
2166.98000,13%
2163.31000,13%
2155.66000,14%
2168.95000,13%
2172.72000,13%
2168.30000,13%
2178.38000,13%
2157.01000,14%
2164.58000,13%
2150.08000,14%
2133.00000,15%
2133.78000,15%
2117.59000,15%
2097.35000,16%
2091.06000,16%
2095.41000,16%
2094.05000,16%
2081.36000,17%
2078.75000,17%
2102.65000,16%
2091.64000,16%
2085.52000,17%
2094.12000,16%
2107.63000,16%
2106.61000,16%
2102.93000,16%
2084.39000,17%
2080.58000,17%
2081.84000,17%
2083.86000,17%
2074.57000,17%
2078.65000,17%
2075.08000,17%
2065.88000,17%
2065.08000,17%
2075.21000,17%
2077.66000,17%
2073.16000,17%
2071.01000,17%
2080.48000,17%
2067.57000,17%
2083.59000,17%
2066.94000,17%
2065.76000,17%
2065.99000,17%
2065.61000,17%
2072.79000,17%
2070.54000,17%
2071.87000,17%
2064.17000,17%
2076.79000,17%
2087.14000,16%
2075.17000,17%
2045.12000,18%
2048.78000,18%
2049.12000,18%
2041.95000,18%
2045.64000,18%
2043.97000,18%
2026.16000,19%
2026.46000,19%
2024.49000,19%
2042.17000,18%
2037.75000,18%
2035.90000,19%
2035.73000,19%
2037.96000,18%
2041.94000,18%
