2664000.00,0%
2632000.00,1%
2773000.00,-4%
2765000.00,-3%
2798000.00,-5%
2764000.00,-3%
2760000.00,-3%
2791000.00,-4%
2789000.00,-4%
2767000.00,-3%
2796000.00,-4%
2819000.00,-5%
2820000.00,-5%
2817000.00,-5%
2838000.00,-6%
2805000.00,-5%
2819000.00,-5%
2819000.00,-5%
2853000.00,-7%
2861000.00,-7%
2754000.00,-3%
2702000.00,-1%
2654000.00,0%
2620000.00,1%
2695000.00,-1%
2702000.00,-1%
2715000.00,-1%
2692000.00,-1%
2649000.00,0%
2738000.00,-2%
2740000.00,-2%
2696000.00,-1%
2700000.00,-1%
2740000.00,-2%
2732000.00,-2%
2640000.00,0%
2564000.00,3%
2563000.00,3%
2584000.00,3%
2583000.00,3%
2681000.00,0%
2650000.00,0%
2640000.00,0%
2611000.00,1%
2606000.00,2%
2624000.00,1%
2520000.00,5%
2515000.00,5%
2481000.00,6%
2480000.00,6%
2490000.00,6%
2454000.00,7%
2406000.00,9%
2350000.00,11%
2338000.00,12%
2302000.00,13%
2324000.00,12%
2316000.00,13%
2310000.00,13%
2304000.00,13%
2305000.00,13%
2351000.00,11%
2376000.00,10%
2374000.00,10%
2350000.00,11%
2342000.00,12%
2345000.00,11%
2352000.00,11%
2310000.00,13%
2250000.00,15%
2231000.00,16%
2295000.00,13%
2314000.00,13%
2386000.00,10%
2379000.00,10%
2385000.00,10%
2389000.00,10%
2450000.00,8%
2430000.00,8%
2410000.00,9%
2388000.00,10%
2490000.00,6%
2492000.00,6%
2500000.00,6%
2543000.00,4%
2554000.00,4%
2560000.00,3%
2537000.00,4%
2542000.00,4%
2532000.00,4%
2524000.00,5%
2528000.00,5%
2494000.00,6%
2450000.00,8%
2433000.00,8%
2393000.00,10%
2403000.00,9%
2379000.00,10%
2350000.00,11%
2361000.00,11%
2377000.00,10%
2397000.00,10%
2385000.00,10%
2415000.00,9%
2414000.00,9%
2381000.00,10%
2398000.00,9%
2374000.00,10%
2407000.00,9%
2328000.00,12%
2279000.00,14%
2284000.00,14%
2268000.00,14%
2270000.00,14%
2269000.00,14%
2305000.00,13%
2258000.00,15%
2265000.00,14%
2297000.00,13%
2298000.00,13%
2234000.00,16%
2235000.00,16%
2232000.00,16%
2281000.00,14%
2304000.00,13%
2284000.00,14%
2244000.00,15%
2246000.00,15%
2255000.00,15%
2236000.00,16%
2297000.00,13%
2317000.00,13%
2319000.00,12%
2305000.00,13%
2291000.00,14%
2275000.00,14%
2280000.00,14%
2351000.00,11%
2276000.00,14%
2245000.00,15%
2231000.00,16%
2192000.00,17%
2140000.00,19%
2135000.00,19%
2062000.00,22%
2038000.00,23%
2014000.00,24%
2045000.00,23%
2075000.00,22%
2078000.00,21%
2101000.00,21%
2121000.00,20%
2095000.00,21%
2080000.00,21%
2097000.00,21%
2080000.00,21%
2092000.00,21%
2107000.00,20%
2104000.00,21%
2072000.00,22%
2060000.00,22%
2099000.00,21%
2089000.00,21%
2074000.00,22%
2060000.00,22%
2075000.00,22%
2090000.00,21%
2123000.00,20%
2128000.00,20%
2095000.00,21%
2120000.00,20%
2092000.00,21%
2070000.00,22%
2068000.00,22%
2030000.00,23%
2009000.00,24%
2010000.00,24%
2010000.00,24%
2010000.00,24%
2004000.00,24%
1981000.00,25%
1986000.00,25%
1922000.00,27%
1903000.00,28%
1911000.00,28%
1959000.00,26%
1965000.00,26%
1947000.00,26%
1933000.00,27%
1893000.00,28%
1901000.00,28%
1886000.00,29%
1879000.00,29%
1898000.00,28%
1918000.00,28%
1920000.00,27%
1920000.00,27%
